nr,run,treatment,layer,LOI,tray,well,6-8mg,beriget,comment,Sample Number,Name,Height (nA),N15,Height (nA),13C,Weight,PEAnA,PEA15N,PEAnA,PEA13C,gnsnSTD N weight,gnsnSTD C weight,1nA to x mgN STD,1nA to x mgC STD,mg N in sample,mg C in sample,%N,%C,C/N,d15Nkorr,d13Ckorr
43,3,BUD,top,,1,D7,6.042,1,,181,EliseLabSoil_tray1_43.raw,4.4026015,192.1115447,3.882729,-24.27211757,6.042,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.05132447,1.031845878,0.849461594,17.0778861,20.10436518,192.0199248,-24.73376374
44,3,BUD,middle,14.77045908,1,D8,6.831,1,,182,EliseLabSoil_tray1_44.raw,2.200921,27.30277787,1.606018625,-25.04633901,6.831,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.025657808,0.426803853,0.37560837,6.248043526,16.634463,27.21115803,-25.50798518
45,3,BUD,bottom,,1,D9,7.137,1,,183,EliseLabSoil_tray1_45.raw,2.093896125,1.626343782,1.339478,-25.32994147,7.137,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.024410137,0.355969951,0.342022383,4.987669207,14.58287368,1.534723934,-25.79158764
46,4,BUD,top,,1,D10,6.845,1,,184,EliseLabSoil_tray1_46.raw,6.1656485,267.8106851,5.3465125,-24.06092672,6.845,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.071877647,1.420850357,1.0500752,20.75749243,19.76762467,267.7190653,-24.5225729
47,4,BUD,middle,16.2,1,D11,6.277,1,,185,EliseLabSoil_tray1_47.raw,2.870677,44.93651667,2.233855,-24.80178814,6.277,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.033465662,0.593653091,0.533147397,9.457592663,17.73917066,44.84489682,-25.26343431
48,4,BUD,bottom,,1,D12,8.039,1,,186,EliseLabSoil_tray1_48.raw,2.15484225,1.971038779,1.359150125,-25.29002367,8.039,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.025120633,0.361197872,0.312484547,4.493069691,14.37853402,1.879418931,-25.75166984
49,5,BUD,top,,1,E1,6.121,1,,187,EliseLabSoil_tray1_49.raw,4.2615415,215.9716353,6.076103,-25.76240625,6.121,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.049680026,1.614741033,0.81163251,26.38034689,32.50282184,215.8800154,-26.22405242
50,5,BUD,middle,14.74103586,1,E2,7.526,1,,188,EliseLabSoil_tray1_50.raw,2.9613475,77.90982538,2.13725275,-24.51916137,7.526,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.034522677,0.567980779,0.458712158,7.546914412,16.45239675,77.81820554,-24.98080754
51,5,BUD,bottom,,1,E3,7.776,1,,189,EliseLabSoil_tray1_51.raw,2.087260625,1.433262668,1.320102875,-25.31969111,7.776,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.024332782,0.350820959,0.312921584,4.511586403,14.4176261,1.34164282,-25.78133728
52,6,BUD,top,,1,E4,6.454,1,,190,EliseLabSoil_tray1_52.raw,5.08648,172.9480482,4.607539,-25.66385547,6.454,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.059296961,1.224466123,0.918762947,18.97220519,20.64972826,172.8564284,-26.12550164
53,6,BUD,middle,19.72111554,1,E5,6.629,1,,191,EliseLabSoil_tray1_53.raw,3.9404935,94.78102179,3.50301275,-25.18562189,6.629,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.045937326,0.930935244,0.692975194,14.04337371,20.26533394,94.68940194,-25.64726806
54,6,BUD,bottom,,1,E6,7.984,1,,192,EliseLabSoil_tray1_54.raw,3.84316125,-0.31800463,2.89428525,-26.15673475,7.984,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.04480265,0.769164241,0.561155431,9.633820657,17.16782931,-0.409624478,-26.61838093
,,,,,,,1.391,,PEACH,193,peach 1391u.raw,3.36878175,1.93291068,2.409944,-25.7536046,1.391,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.039272447,0.640449226,2.823324766,46.04235989,16.3078511,1.841290831,-26.21525078
58,2,BUW,top,,1,E10,6.942,1,,194,EliseLabSoil_tray1_58.raw,6.4940045,130.3393788,5.1297675,-26.80558416,6.942,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.075705543,1.363249779,1.090543687,19.63770929,18.00726512,130.247759,-27.26723033
59,2,BUW,middle,11.02204409,1,E11,7.645,1,,195,EliseLabSoil_tray1_59.raw,1.96198725,23.97962454,1.349812375,-25.23819821,7.645,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.022872376,0.35871634,0.299180844,4.692169259,15.683388,23.88800469,-25.69984439
60,2,BUW,bottom,,1,E12,7.943,1,,196,EliseLabSoil_tray1_60.raw,3.138865,0.254661632,1.9045205,-26.55315656,7.943,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.036592133,0.506131545,0.46068404,6.372045135,13.83170368,0.163041784,-27.01480273
61,3,BUW,top,,1,F1,7.005,1,,197,EliseLabSoil_tray1_61.raw,6.132465,151.8986772,4.8543855,-25.67236968,7.005,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.071490802,1.290066257,1.020568197,18.41636342,18.04520606,151.8070574,-26.13401586
