run;date;hrs_after_incubation;pipe_nr;treatment;tinytag;minute;ppm;
1;13.10.2025;12;11;BUD;H;ppm_5;699;
1;13.10.2025;12;11;BUD;H;ppm_6;707;
1;14.10.2025;24;14;SCW;A;ppm _room;684;
1;14.10.2025;24;14;SCW;A;ppm_0;687;
1;14.10.2025;24;14;SCW;A;ppm_1;720;
1;14.10.2025;24;14;SCW;A;ppm_2;742;
1;14.10.2025;24;14;SCW;A;ppm_3;764;
1;14.10.2025;24;14;SCW;A;ppm_4;787;
1;14.10.2025;24;14;SCW;A;ppm_5;807;
1;14.10.2025;24;14;SCW;A;ppm_6;827;
1;14.10.2025;24;9;BUW;B;ppm _room;702;
1;14.10.2025;24;9;BUW;B;ppm_0;705;
1;14.10.2025;24;9;BUW;B;ppm_1;716;
1;14.10.2025;24;9;BUW;B;ppm_2;728;
1;14.10.2025;24;9;BUW;B;ppm_3;740;
1;14.10.2025;24;9;BUW;B;ppm_4;751;
1;14.10.2025;24;9;BUW;B;ppm_5;762;
1;14.10.2025;24;9;BUW;B;ppm_6;773;
1;14.10.2025;24;10;BCW;C;ppm _room;721;
1;14.10.2025;24;10;BCW;C;ppm_0;715;
1;14.10.2025;24;10;BCW;C;ppm_1;726;
1;14.10.2025;24;10;BCW;C;ppm_2;736;
1;14.10.2025;24;10;BCW;C;ppm_3;745;
1;14.10.2025;24;10;BCW;C;ppm_4;754;
1;14.10.2025;24;10;BCW;C;ppm_5;762;
1;14.10.2025;24;10;BCW;C;ppm_6;771;
1;14.10.2025;24;12;BCD;D;ppm _room;728;
1;14.10.2025;24;12;BCD;D;ppm_0;730;
1;14.10.2025;24;12;BCD;D;ppm_1;734;
1;14.10.2025;24;12;BCD;D;ppm_2;738;
1;14.10.2025;24;12;BCD;D;ppm_3;743;
1;14.10.2025;24;12;BCD;D;ppm_4;747;
1;14.10.2025;24;12;BCD;D;ppm_5;751;
1;14.10.2025;24;12;BCD;D;ppm_6;756;
1;14.10.2025;24;13;SUW;E;ppm _room;741;
1;14.10.2025;24;13;SUW;E;ppm_0;743;
1;14.10.2025;24;13;SUW;E;ppm_1;774;
1;14.10.2025;24;13;SUW;E;ppm_2;805;
1;14.10.2025;24;13;SUW;E;ppm_3;833;
1;14.10.2025;24;13;SUW;E;ppm_4;860;
1;14.10.2025;24;13;SUW;E;ppm_5;886;
1;14.10.2025;24;13;SUW;E;ppm_6;911;
1;14.10.2025;24;16;SCD;F;ppm _room;838;
1;14.10.2025;24;16;SCD;F;ppm_0;833;
1;14.10.2025;24;16;SCD;F;ppm_1;855;
1;14.10.2025;24;16;SCD;F;ppm_2;874;
1;14.10.2025;24;16;SCD;F;ppm_3;888;
1;14.10.2025;24;16;SCD;F;ppm_4;908;
1;14.10.2025;24;16;SCD;F;ppm_5;921;
1;14.10.2025;24;16;SCD;F;ppm_6;936;
1;14.10.2025;24;15;SUD;G;ppm _room;763;
1;14.10.2025;24;15;SUD;G;ppm_0;764;
1;14.10.2025;24;15;SUD;G;ppm_1;791;
1;14.10.2025;24;15;SUD;G;ppm_2;820;
1;14.10.2025;24;15;SUD;G;ppm_3;840;
1;14.10.2025;24;15;SUD;G;ppm_4;861;
1;14.10.2025;24;15;SUD;G;ppm_5;881;
1;14.10.2025;24;15;SUD;G;ppm_6;899;
1;14.10.2025;24;11;BUD;H;ppm _room;732;
1;14.10.2025;24;11;BUD;H;ppm_0;726;
1;14.10.2025;24;11;BUD;H;ppm_1;743;
1;14.10.2025;24;11;BUD;H;ppm_2;755;
1;14.10.2025;24;11;BUD;H;ppm_3;767;
1;14.10.2025;24;11;BUD;H;ppm_4;778;
1;14.10.2025;24;11;BUD;H;ppm_5;789;
1;14.10.2025;24;11;BUD;H;ppm_6;799;
1;14.10.2025;30;14;SCW;A;ppm _room;738;
1;14.10.2025;30;14;SCW;A;ppm_0;739;
1;14.10.2025;30;14;SCW;A;ppm_1;761;
1;14.10.2025;30;14;SCW;A;ppm_2;786;
1;14.10.2025;30;14;SCW;A;ppm_3;807;
1;14.10.2025;30;14;SCW;A;ppm_4;828;
1;14.10.2025;30;14;SCW;A;ppm_5;849;
1;14.10.2025;30;14;SCW;A;ppm_6;868;
1;14.10.2025;30;9;BUW;B;ppm _room;727;
1;14.10.2025;30;9;BUW;B;ppm_0;726;
1;14.10.2025;30;9;BUW;B;ppm_1;738;
1;14.10.2025;30;9;BUW;B;ppm_2;751;
1;14.10.2025;30;9;BUW;B;ppm_3;765;
1;14.10.2025;30;9;BUW;B;ppm_4;777;
1;14.10.2025;30;9;BUW;B;ppm_5;791;
1;14.10.2025;30;9;BUW;B;ppm_6;803;
1;14.10.2025;30;10;BCW;C;ppm _room;769;
1;14.10.2025;30;10;BCW;C;ppm_0;769;
1;14.10.2025;30;10;BCW;C;ppm_1;783;
1;14.10.2025;30;10;BCW;C;ppm_2;794;
1;14.10.2025;30;10;BCW;C;ppm_3;803;
1;14.10.2025;30;10;BCW;C;ppm_4;814;
1;14.10.2025;30;10;BCW;C;ppm_5;823;
1;14.10.2025;30;10;BCW;C;ppm_6;833;
1;14.10.2025;30;12;BCD;D;ppm _room;729;
1;14.10.2025;30;12;BCD;D;ppm_0;735;
1;14.10.2025;30;12;BCD;D;ppm_1;741;
1;14.10.2025;30;12;BCD;D;ppm_2;746;
1;14.10.2025;30;12;BCD;D;ppm_3;752;
1;14.10.2025;30;12;BCD;D;ppm_4;758;
1;14.10.2025;30;12;BCD;D;ppm_5;764;
1;14.10.2025;30;12;BCD;D;ppm_6;768;
1;14.10.2025;30;13;SUW;E;ppm _room;716;
1;14.10.2025;30;13;SUW;E;ppm_0;707;
1;14.10.2025;30;13;SUW;E;ppm_1;755;
1;14.10.2025;30;13;SUW;E;ppm_2;794;
1;14.10.2025;30;13;SUW;E;ppm_3;829;
1;14.10.2025;30;13;SUW;E;ppm_4;861;
1;14.10.2025;30;13;SUW;E;ppm_5;893;
1;14.10.2025;30;13;SUW;E;ppm_6;923;
1;14.10.2025;30;16;SCD;F;ppm _room;653;
1;14.10.2025;30;16;SCD;F;ppm_0;644;
1;14.10.2025;30;16;SCD;F;ppm_1;700;
1;14.10.2025;30;16;SCD;F;ppm_2;737;
1;14.10.2025;30;16;SCD;F;ppm_3;768;
1;14.10.2025;30;16;SCD;F;ppm_4;795;
1;14.10.2025;30;16;SCD;F;ppm_5;820;
1;14.10.2025;30;16;SCD;F;ppm_6;843;
1;14.10.2025;30;15;SUD;G;ppm _room;627;
1;14.10.2025;30;15;SUD;G;ppm_0;627;
