run,treatment,layer,diameter,tray,position,nr,4-5mg,comment,%N,%C,C/N,d15Nkorr,d13Ckorr,Nat abun (15N),δ15Nkorr,atom% (15N),APE%,N pr DW,15N pr DW,15N pr N ,Nat abun (13C),δ13Ckorr,atom% (13C),APE%,C pr DW,13C pr DW  ,13C pr C 
,,,,,,,,,,,,,,(ATM%),(δ),(% of N),(% excess),(mgN/g DW),(μg/g DW),(μg/g N),(ATM%),(δ),(% of C),(% excess),(mg/g DW),(μg/g DW),(μg/g C)
1,SCW,top,coarse,1,C8,32,4.903,,1.335,45.67,34.21,-3.23,-29.58,0.366,-3.23,0.365,-0.001,13.3,-0.1,-9.3,1.08,-29.58,1.079,-0.001,457,-5.97,-13.06
1,SCW,middle,fine,1,C9,33,4.352,,1.573,44.29,28.15,-0.57,-28.91,0.366,-0.57,0.366,0.000,15.7,0.0,0.4,1.08,-28.91,1.079,-0.001,443,-2.51,-5.67
1,SCW,middle,coarse,1,C10,34,4.88,,1.385,45.36,32.75,-1.57,-29.18,0.366,-1.57,0.366,0.000,13.9,0.0,-3.2,1.08,-29.18,1.079,-0.001,454,-3.93,-8.66
1,SCW,bottom,fine,1,C11,35,4.493,,1.395,41.31,29.62,2.64,-28.70,0.366,2.64,0.367,0.001,13.9,0.2,12.2,1.08,-28.70,1.080,0.000,413,-1.36,-3.30
1,SCW,bottom,coarse,1,C12,36,4.284,,1.082,43.62,40.31,3.79,-26.98,0.366,3.79,0.368,0.002,10.8,0.2,16.4,1.08,-26.98,1.082,0.002,436,6.78,15.54
,,,,,,,,PEACH,3.205,51.88,16.19,2.06,-26.08,0.366,2.06,0.367,0.001,32.0,0.3,10.0,1.08,-26.08,1.083,0.003,519,13.23,25.49
1,SUD,top,fine,1,D1,37,5.167,,1.395,43.72,31.34,-0.62,-30.56,0.366,-0.62,0.366,0.000,13.9,0.0,0.3,1.08,-30.56,1.078,-0.002,437,-10.39,-23.76
1,SUD,top,coarse,1,D2,38,4.292,,1.126,46.93,41.66,-3.60,-30.58,0.366,-3.60,0.365,-0.001,11.3,-0.1,-10.6,1.08,-30.58,1.078,-0.002,469,-11.27,-24.01
1,SUD,middle,fine,1,D3,39,4.325,,1.456,42.58,29.25,-1.26,-29.57,0.366,-1.26,0.366,0.000,14.6,0.0,-2.0,1.08,-29.57,1.079,-0.001,426,-5.50,-12.93
1,SUD,middle,coarse,1,D4,40,5.002,,1.147,44.89,39.12,-2.54,-30.18,0.366,-2.54,0.365,-0.001,11.5,-0.1,-6.7,1.08,-30.18,1.078,-0.002,449,-8.81,-19.64
